,mmu00010,mmu00030,mmu00051,mmu00240,mmu00250,mmu00410,mmu00430,mmu00511,mmu00513,mmu00520,mmu00531,mmu00600,mmu00603,mmu00604,mmu00650,mmu01100,mmu01200,mmu01230,mmu01232,mmu01240,mmu01521,mmu04010,mmu04014,mmu04015,mmu04020,mmu04022,mmu04024,mmu04060,mmu04066,mmu04070,mmu04072,mmu04080,mmu04114,mmu04142,mmu04144,mmu04145,mmu04148,mmu04151,mmu04210,mmu04218,mmu04270,mmu04310,mmu04350,mmu04371,mmu04380,mmu04390,mmu04510,mmu04512,mmu04540,mmu04550,mmu04610,mmu04611,mmu04621,mmu04625,mmu04630,mmu04710,mmu04714,mmu04720,mmu04721,mmu04723,mmu04724,mmu04725,mmu04726,mmu04727,mmu04728,mmu04730,mmu04750,mmu04810,mmu04814,mmu04912,mmu04915,mmu04918,mmu04919,mmu04921,mmu04922,mmu04924,mmu04925,mmu04926,mmu04927,mmu04928,mmu04929,mmu04934,mmu04935,mmu04940,mmu04970,mmu04971,mmu04972,mmu05010,mmu05012,mmu05017,mmu05020,mmu05022,mmu05032,mmu05033,mmu05034,mmu05152,mmu05163,mmu05165,mmu05167,mmu05170,mmu05200,mmu05202,mmu05205,mmu05206,mmu05214,mmu05215,mmu05217,mmu05218,mmu05230,mmu05231,mmu05323,mmu05418
cell_778,0.9375,0.9375,0.9375,0.625,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.75,0.86206895,0.9375,0.9375,0.625,0.625,0.125,0.3548387,0.3548387,0.033333335,0.2,-0.1875,-0.3983871,0.4375,0.7741935,-0.1875,0.125,-0.6034483,-0.1875,0.6875,0.125,-0.875,-0.3125,0.1,-0.1875,-0.1875,-0.48511165,-0.9375,0.4375,-0.6312925,-0.1875,0.4375,0.1,-0.375,-0.032258064,0.4375,-0.375,-0.1875,-0.1875,-0.1875,0.06451613,0.1875,-0.5,-0.1875,1.0,0.6062893,-0.1875,-0.1875,-0.1875,0.9032258,-0.1875,-0.06451613,-0.1875,0.125,-0.6875,-0.1875,-0.1875,-0.32258064,0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.6875,-0.1875,0.06451613,-0.1875,-0.06451613,-0.1875,0.75,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,1.0,1.0,0.0625,-0.875,-0.032258064,-0.375,-0.1875,-0.1875,0.29032257,0.5625,-0.29032257,0.125,0.125,0.125,0.4375,0.125,0.125,0.125,0.5625,0.4375
cell_1409,0.625,0.625,0.625,-0.9375,-0.4375,-0.4375,-0.4375,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.8125,-0.4375,-0.5101881,0.625,0.625,-0.9375,-0.9375,0.0625,0.33387098,0.33387098,-0.033333335,0.13333334,-0.25,-0.5629032,0.375,0.58064514,-0.25,0.0625,0.1640394,-0.25,-0.8125,0.0625,0.6875,0.75,0.06666667,-0.25,-0.25,-0.516129,0.875,0.375,0.2920635,-0.25,0.375,0.06666667,-0.375,-0.09677419,0.375,-0.375,-0.25,-0.25,-0.25,0.7064516,0.125,-0.5625,-0.25,0.9375,0.45454547,-0.25,-0.25,-0.25,0.6400293,-0.25,-0.12903225,-0.25,0.0625,-0.75,-0.25,-0.25,-0.38709676,0.375,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,2.220446e-16,-0.25,-0.12903225,-0.25,-0.4375,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.9375,0.9375,0.0,0.6875,-0.09677419,-0.375,-0.25,-0.25,0.22580644,0.5,-0.32258064,0.0625,0.0625,0.0625,0.375,0.0625,0.0625,0.0625,0.5,0.375
cell_3642,0.8125,0.8125,0.8125,-0.9375,0.9375,0.9375,0.9375,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,0.9375,0.1977879,0.8125,0.8125,-0.9375,-0.9375,0.3125,0.5483871,0.5483871,0.29929078,0.5063063,-0.0625,-0.09677419,0.625,0.8064516,-0.0625,0.3125,-0.38505748,-0.0625,-0.625,0.3125,-0.8125,-0.1875,0.37054265,-0.0625,-0.0625,-0.49283153,-0.875,0.625,-0.6076923,-0.0625,0.625,0.37054265,-0.25,0.20698924,0.625,-0.25,-0.0625,-0.0625,-0.0625,0.2580645,0.375,-0.375,-0.0625,1.0,0.73333335,-0.0625,-0.0625,-0.0625,1.0,-0.0625,0.12580645,-0.0625,0.3125,-0.5625,-0.0625,-0.0625,-0.19354838,0.625,-0.0625,-0.0625,-0.0625,-0.0625,-0.5625,-0.0625,0.4283154,-0.0625,0.12580645,-0.0625,0.9375,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,1.0,1.0,0.25,-0.8125,0.20698924,-0.25,-0.0625,-0.0625,0.48387095,0.75,-0.16129032,0.3125,0.3125,0.3125,0.625,0.3125,0.3125,0.3125,0.75,0.625
cell_1302,-0.8125,-0.8125,-0.8125,-0.9375,0.9375,0.9375,0.9375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,0.9375,-0.34612882,-0.8125,-0.8125,-0.9375,-0.9375,0.1875,0.38709676,0.38709676,0.06666667,0.20537634,-0.1875,-0.23387097,0.4375,-0.26539588,-0.1875,0.1875,-0.53140396,-0.1875,-0.6875,0.1875,-0.875,-0.3125,0.1,-0.1875,-0.1875,-0.41935483,0.875,0.4375,-0.593617,-0.1875,0.4375,0.1,-0.375,3.330669e-16,0.4375,-0.375,-0.1875,-0.1875,-0.1875,0.12903225,0.25,-0.4375,-0.1875,1.0,0.64705884,-0.1875,-0.1875,-0.1875,1.0,-0.1875,-0.032258064,-0.1875,0.1875,-0.625,-0.1875,-0.1875,0.5752688,0.4375,-0.1875,-0.1875,-0.1875,-0.1875,-0.625,-0.1875,0.09677419,-0.1875,-0.032258064,-0.1875,0.9375,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,1.0,1.0,0.125,-0.875,3.330669e-16,-0.375,-0.1875,-0.1875,0.32258064,0.5625,-0.29032257,0.1875,0.1875,0.1875,0.4375,0.1875,0.1875,0.1875,0.5625,0.4375
cell_1285,-0.8125,-0.8125,-0.8125,-0.9375,0.9375,0.9375,0.9375,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,-0.6875,0.9375,-0.34612882,-0.8125,-0.8125,-0.9375,-0.9375,0.25,0.48387095,0.48387095,0.17777778,0.3809524,-0.125,-0.16568916,0.5625,-0.1061828,-0.125,0.25,0.08793104,-0.125,-0.6875,0.25,-0.875,-0.25,0.24715447,-0.125,-0.125,-0.47653958,0.8125,0.5625,0.19432624,-0.125,0.5625,0.24715447,-0.3125,0.06451613,0.5625,-0.3125,-0.125,-0.125,-0.125,0.19354838,0.3125,-0.4375,-0.125,1.0,0.67346936,-0.125,-0.125,-0.125,1.0,-0.125,0.032258064,-0.125,0.25,-0.625,-0.125,-0.125,-0.2580645,0.5625,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.25268817,-0.125,0.032258064,-0.125,0.9375,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.1875,-0.875,0.06451613,-0.3125,-0.125,-0.125,0.41935483,0.6875,-0.22580644,0.25,0.25,0.25,0.5625,0.25,0.25,0.25,0.6875,0.5625
cell_769,0.8125,0.8125,0.8125,-0.9375,0.875,0.875,0.875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.875,0.39399746,0.8125,0.8125,-0.9375,-0.9375,0.25,0.41935483,0.41935483,0.08292683,0.30322582,-0.125,-0.16568916,0.5,0.7096774,-0.125,0.25,-0.46120688,-0.125,0.6875,0.25,-0.8125,-0.25,0.15675676,-0.125,-0.125,-0.47653958,-0.875,0.5,-0.5968992,-0.125,0.5,0.15675676,-0.3125,0.06451613,0.5,-0.3125,-0.125,-0.125,-0.125,0.19354838,0.3125,-0.4375,-0.125,1.0,0.67346936,-0.125,-0.125,-0.125,0.9677419,-0.125,0.032258064,-0.125,0.25,-0.625,-0.125,-0.125,-0.2580645,0.5,-0.125,-0.125,-0.125,-0.125,-0.625,-0.125,0.6347926,-0.125,0.032258064,-0.125,0.875,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,-0.125,1.0,1.0,0.1875,-0.8125,0.06451613,-0.3125,-0.125,-0.125,0.38709676,0.5625,-0.22580644,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5625,0.5
cell_1466,-0.8125,-0.8125,-0.8125,-0.9375,0.875,0.875,0.875,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,-0.625,0.875,-0.36240703,-0.8125,-0.8125,-0.9375,-0.9375,0.1875,0.41935483,0.41935483,0.11219512,0.24848485,-0.1875,-0.23387097,0.5,-0.18373072,-0.1875,0.1875,-0.49361432,-0.1875,-0.625,0.1875,0.75,-0.3125,0.13846155,-0.1875,-0.1875,0.6502016,-0.875,0.5,0.17987421,-0.1875,0.5,0.13846155,-0.375,3.330669e-16,0.5,-0.375,-0.1875,-0.1875,-0.1875,0.12903225,0.25,-0.4375,-0.1875,0.9375,0.5659864,-0.1875,-0.1875,-0.1875,0.9354839,-0.1875,-0.032258064,-0.1875,0.1875,0.8125,-0.1875,-0.1875,0.8684211,0.5,-0.1875,-0.1875,-0.1875,-0.1875,0.8125,-0.1875,0.09677419,-0.1875,-0.032258064,-0.1875,0.875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,-0.1875,0.9375,0.9375,0.125,0.75,3.330669e-16,-0.375,-0.1875,-0.1875,0.3548387,0.625,-0.29032257,0.1875,0.1875,0.1875,0.5,0.1875,0.1875,0.1875,0.625,0.5
cell_5870,1.0,1.0,1.0,-1.0,0.8125,0.8125,0.8125,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.8125,0.30849755,1.0,1.0,-1.0,-1.0,0.125,0.32258064,0.32258064,1.6653345e-16,0.13333334,-0.25,-0.3983871,0.375,0.7741935,-0.25,0.125,-0.6034483,-0.25,0.625,0.125,-0.875,0.6875,0.06666667,-0.25,-0.25,-0.48387095,-0.9375,0.375,-0.59607846,-0.25,0.375,0.06666667,-0.375,-0.06451613,0.375,-0.375,-0.25,-0.25,-0.25,0.06451613,0.1875,-0.5,-0.25,0.875,0.43529412,-0.25,-0.25,-0.25,0.87096775,-0.25,-0.09677419,-0.25,0.125,-0.6875,-0.25,-0.25,-0.3548387,0.375,-0.25,-0.25,-0.25,-0.25,-0.6875,-0.25,0.5231855,-0.25,-0.09677419,-0.25,0.8125,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.875,0.875,0.0625,-0.875,-0.06451613,-0.375,-0.25,-0.25,0.2580645,0.5,-0.32258064,0.125,0.125,0.125,0.375,0.125,0.125,0.125,0.5,0.375
cell_1392,0.625,0.625,0.625,-0.9375,0.9375,0.9375,0.9375,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75,0.9375,-0.06896552,0.625,0.625,-0.9375,-0.9375,0.125,0.32258064,0.32258064,-0.033333335,0.13333334,-0.25,-0.47653958,0.375,0.58064514,-0.25,0.125,-0.16685206,-0.25,-0.75,0.125,-0.875,-0.375,0.033333335,-0.25,-0.25,0.67652327,0.5625,0.375,0.68135595,-0.25,0.375,0.033333335,-0.4375,-0.06451613,0.375,-0.4375,-0.25,-0.25,-0.25,0.06451613,0.1875,-0.5625,-0.25,1.0,0.5140351,-0.25,-0.25,-0.25,1.0,-0.25,-0.09677419,-0.25,0.125,0.875,-0.25,-0.25,-0.38709676,0.375,-0.25,-0.25,-0.25,-0.25,0.875,-0.25,0.032258064,-0.25,-0.09677419,-0.25,0.9375,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0,1.0,0.0625,-0.875,-0.06451613,-0.4375,-0.25,-0.25,0.2580645,0.5,-0.3548387,0.125,0.125,0.125,0.375,0.125,0.125,0.125,0.5,0.375
cell_5682,-0.75,-0.75,-0.75,-0.9375,0.8125,0.8125,0.8125,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.8125,-0.32208365,-0.75,-0.75,-0.9375,-0.9375,0.3125,0.5483871,0.5483871,0.66410255,0.5063063,-0.0625,-0.032258064,0.625,0.041666668,-0.0625,0.3125,0.31519395,-0.0625,-0.5,0.3125,-0.8125,-0.125,0.4113821,-0.0625,-0.0625,-0.34792626,-0.875,0.625,-0.46774194,-0.0625,0.625,0.4113821,-0.1875,0.20698924,0.625,-0.1875,-0.0625,-0.0625,-0.0625,0.2580645,0.375,0.875,-0.0625,1.0,0.9507936,-0.0625,-0.0625,-0.0625,0.9354839,-0.0625,0.12580645,-0.0625,0.3125,-0.4375,-0.0625,-0.0625,-0.16129032,0.625,-0.0625,-0.0625,-0.0625,-0.0625,-0.4375,-0.0625,0.4283154,-0.0625,0.12580645,-0.0625,0.8125,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,1.0,1.0,0.25,-0.8125,0.20698924,-0.1875,-0.0625,-0.0625,0.48387095,0.75,-0.12903225,0.3125,0.3125,0.3125,0.625,0.3125,0.3125,0.3125,0.75,0.625
